user_id,user_name,contact_info,sign_up_date,subscription_type,country
101,Akhilesh Kumar Shukla,shuklaakhilesh31310@gmail.com,2020-05-03,Annually,India
102,John Devis,devisjohn@yahoo.in,2022-06-03,Monthly,USA
103,Chen pao,paochen@gmail.com,2024-07-04,Weekly,Japan
105,Xi Jingping,jinpingxi@yahoo.in,2023-04-04,Monthly,China
106,Kim Jong Un,kimkimki@gmail.com,2025-02-04,Weekly,North Korea
107,Guy Parmelin,parmelin@yahoo.in,2026-01-04,Weekly,Switzerland
108,Giorgia Meloni,melody@gmail.com,2022-06-04,Annually,Italy
109,Satakshi Anand Srivastava,satakshianand28@gmail.com,2022-03-28,Monthly,India
110,Aman,aman@yahoo.in,2024-04-04,Annually,India
111,Rohan,rohan@gmail.com,2026-04-04,Weekly,India
112,John Doe,johndoe@yahoo.in,2025-04-04,Annually,USA
113,Elon Musk,musk@gmail.com,2026-05-08,Weekly,USA
114,Souta,souta@gmail.com,2017-04-04,Annually,Japan
115,Chinchan,chinchanxi@yahoo.in,2025-03-04,Annually,China
116,Chin chaw,chinchaw@gmail.com,2020-07-06,Weekly,China
117,Uchisaki,uchisaki@yahoo.in,2026-02-08,Monthly,Japan
118,Jaron,jaron@gmail.com,2024-07-02,Monthly,Switzerland
